"Date","countriesAndTerritories","cases","popData2018","TotalCases","Millions","PerMillion","PerMillionDay"
2020-05-08,"Fiji",0,883483,18,0.883483,20.3739064588679,0
2020-05-08,"Finland",100,5518050,5673,5.51805,1028.08057194117,18.1223439439657
2020-05-08,"France",629,66987244,137779,66.987244,2056.79457420281,9.38984741632302
2020-05-08,"French_Polynesia",0,277679,60,0.277679,216.07683692321,0
2020-05-08,"Gabon",65,2119275,504,2.119275,237.817178044378,30.6708662160409
2020-05-08,"Gambia",1,2280102,18,2.280102,7.8943836723094,0.438576870683855
2020-05-08,"Georgia",5,3731000,615,3.731,164.835164835165,1.3401232913428
2020-05-08,"Germany",1209,82927922,167300,82.927922,2017.41459287983,14.5789255396994
2020-05-08,"Ghana",0,29767108,3091,29.767108,103.839445874285,0
2020-05-08,"Gibraltar",0,33718,144,0.033718,4270.71593807462,0
2020-05-08,"Greece",15,10727668,2678,10.727668,249.634869386338,1.39825356265686
2020-05-08,"Greenland",0,56025,11,0.056025,196.340919232486,0
2020-05-08,"Grenada",0,111454,21,0.111454,188.418540384374,0
2020-05-08,"Guam",0,165768,151,0.165768,910.911635538825,0
2020-05-08,"Guatemala",34,17247807,832,17.247807,48.2380165779916,1.97126510054293
2020-05-08,"Guernsey",0,63026,252,0.063026,3998.34988734808,0
2020-05-08,"Guinea",71,12414318,1927,12.414318,155.223992167753,5.71920261749377
2020-05-08,"Guinea_Bissau",89,1874309,564,1.874309,300.910895695427,47.4841661647039
2020-05-08,"Guyana",0,779004,93,0.779004,119.383212409692,0
2020-05-08,"Haiti",21,11123176,129,11.123176,11.5974070715055,1.88794998838461
2020-05-08,"Holy_See",0,1000,12,0.001,12000,0
2020-05-08,"Honduras",224,9587522,1685,9.587522,175.749270770904,23.3637012775564
2020-05-08,"Hungary",28,9768785,3178,9.768785,325.32193102827,2.86627252007286
2020-05-08,"Iceland",2,353574,1801,0.353574,5093.70032864407,5.65652451820552
2020-05-08,"India",3390,1352617328,56342,1352.617328,41.6540575325233,2.50625208610369
2020-05-08,"Indonesia",338,267663435,12776,267.663435,47.7315850033831,1.26277987876827
2020-05-08,"Iran",1485,81800269,103135,81.800269,1260.81492470398,18.1539745303283
2020-05-08,"Iraq",63,38433600,2543,38.4336,66.1660630281837,1.63919070813039
2020-05-08,"Ireland",137,4853506,22385,4.853506,4612.12987065433,28.2270177475829
2020-05-08,"Isle_of_Man",2,84077,329,0.084077,3913.07967696278,23.7877184009896
2020-05-08,"Israel",71,8883800,16381,8.8838,1843.91814313695,7.99207546320268
2020-05-08,"Italy",1401,60431283,215858,60.431283,3571.95792119787,23.1833568716388
2020-05-08,"Jamaica",10,2934855,488,2.934855,166.277379972775,3.40732336009786
2020-05-08,"Japan",84,126529100,15547,126.5291,122.872920142481,0.663878902165589
2020-05-08,"Jersey",0,106800,293,0.1068,2743.44569288389,0
2020-05-08,"Jordan",21,9956011,494,9.956011,49.6182657893809,2.1092785052166
2020-05-08,"Kazakhstan",188,18276499,4690,18.276499,256.61369827996,10.2864339609025
2020-05-08,"Kenya",25,51393010,607,51.39301,11.8109447179685,0.486447476028355
2020-05-08,"Kosovo",1,1845300,861,1.8453,466.590798244188,0.541917303419498
2020-05-08,"Kuwait",278,4137309,6567,4.137309,1587.26360540148,67.1934341863274
2020-05-08,"Kyrgyzstan",11,6315800,906,6.3158,143.449760917065,1.74166376389373
2020-05-08,"Laos",0,7061507,19,7.061507,2.69064379600558,0
2020-05-08,"Latvia",9,1926542,909,1.926542,471.829838124474,4.67158255568786
2020-05-08,"Lebanon",34,6848925,784,6.848925,114.470519096063,4.96428271590067
2020-05-08,"Liberia",11,4818977,189,4.818977,39.2199423238584,2.28264214583303
2020-05-08,"Libya",0,6678567,64,6.678567,9.58289405496718,0
2020-05-08,"Liechtenstein",0,37910,83,0.03791,2189.3959377473,0
2020-05-08,"Lithuania",5,2789533,1433,2.789533,513.706057608926,1.7924147160116
2020-05-08,"Luxembourg",8,607728,3859,0.607728,6349.88020956744,13.1637837980149
2020-05-08,"Madagascar",35,26262368,193,26.262368,7.34891842197931,1.33270541331231
2020-05-08,"Malawi",0,18143315,43,18.143315,2.37001892983724,0
2020-05-08,"Malaysia",39,31528585,6467,31.528585,205.11545316734,1.23697273442497
2020-05-08,"Maldives",25,515696,642,0.515696,1244.91948744997,48.4781731873041
2020-05-08,"Mali",19,19077690,650,19.07769,34.0712109275284,0.995927704035447
2020-05-08,"Malta",2,483530,486,0.48353,1005.10826629165,4.13624800943065
2020-05-08,"Mauritania",0,4403319,8,4.403319,1.81681136433677,0
2020-05-08,"Mauritius",0,1265303,332,1.265303,262.387744279433,0
2020-05-08,"Mexico",1982,126190788,29616,126.190788,234.692250277413,15.7063762847729
2020-05-08,"Moldova",129,3545883,4605,3.545883,1298.68921224981,36.3802189750762
2020-05-08,"Monaco",0,38682,95,0.038682,2455.92265136239,0
2020-05-08,"Mongolia",1,3170208,42,3.170208,13.2483420646216,0.315436715824324
2020-05-08,"Montenegro",0,622345,324,0.622345,520.61155789795,0
2020-05-08,"Montserrat",0,5900,11,0.0059,1864.40677966102,0
2020-05-08,"Morocco",140,36029138,5548,36.029138,153.986476168261,3.88574381102318
2020-05-08,"Mozambique",0,29495962,81,29.495962,2.74613860704052,0
2020-05-08,"Myanmar",14,53708395,176,53.708395,3.27695512033082,0.260666884571769
2020-05-08,"Namibia",0,2448255,16,2.448255,6.53526695544377,0
2020-05-08,"Nepal",2,28087871,101,28.087871,3.59585815528703,0.0712051119858817
2020-05-08,"Netherlands",455,17231017,41774,17.231017,2424.34906773059,26.4058702977311
2020-05-08,"New_Caledonia",0,284060,18,0.28406,63.3668943181018,0
2020-05-08,"New_Zealand",2,4885500,1141,4.8855,233.548255040426,0.409374680176031
2020-05-08,"Nicaragua",0,6465513,16,6.465513,2.47466829004907,0
2020-05-08,"Niger",11,22442948,781,22.442948,34.7993498893283,0.490131688582088
2020-05-08,"Nigeria",381,195874740,3526,195.87474,18.001300218701,1.94512064189594
2020-05-08,"North_Macedonia",33,2082958,1572,2.082958,754.695966025239,15.8428542486214
2020-05-08,"Northern_Mariana_Islands",0,56882,15,0.056882,263.703807882986,0
2020-05-08,"Norway",42,5314336,7995,5.314336,1504.42124848711,7.9031510239473
2020-05-08,"Oman",55,4829483,2958,4.829483,612.487920549674,11.3883825660014
2020-05-08,"Pakistan",1764,212215030,25837,212.21503,121.749152263155,8.31232358989842
2020-05-08,"Palestine",1,4569087,547,4.569087,119.71757158487,0.218862105273986
2020-05-08,"Panama",137,4176873,7868,4.176873,1883.70582490777,32.7996565852014
2020-05-08,"Papua_New_Guinea",0,8606316,8,8.606316,0.929549879414142,0
2020-05-08,"Paraguay",22,6956071,462,6.956071,66.4168033937549,3.16270492351214
2020-05-08,"Peru",3709,31989256,58526,31.989256,1829.55177200745,115.945178593713
2020-05-08,"Philippines",339,106651922,10343,106.651922,96.9790305326143,3.17856437692703
2020-05-08,"Poland",307,37978548,15047,37.978548,396.197348039741,8.08351072294812
2020-05-08,"Portugal",533,10281762,26715,10.281762,2598.29005962208,51.8393637199538
2020-05-08,"Puerto_Rico",63,3195153,2031,3.195153,635.650311581323,19.7173656472789
2020-05-08,"Qatar",918,2781677,18890,2.781677,6790.86752344,330.016748889249
2020-05-08,"Romania",392,19473936,14499,19.473936,744.533616624806,20.12946946113
2020-05-08,"Russia",11231,144478050,177160,144.47805,1226.20702591155,77.7349915783055
2020-05-08,"Rwanda",3,12301939,271,12.301939,22.0290476159896,0.243863995748963
2020-05-08,"Saint_Kitts_and_Nevis",0,52441,15,0.052441,286.035735397876,0
2020-05-08,"Saint_Lucia",0,181889,18,0.181889,98.961454513467,0
2020-05-08,"Saint_Vincent_and_the_Grenadines",0,110210,17,0.11021,154.25097541058,0
2020-05-08,"San_Marino",14,33785,622,0.033785,18410.5372206601,414.385082137043
2020-05-08,"Sao_Tome_and_Principe",13,211028,187,0.211028,886.138332354,61.6031995754118
2020-05-08,"Saudi_Arabia",1793,33699947,33731,33.699947,1000.92145545511,53.2048314497349
2020-05-08,"Senegal",59,15854360,1492,15.85436,94.1066053754299,3.72137380506056
2020-05-08,"Serbia",57,6982084,9848,6.982084,1410.46713273573,8.16375168216252
2020-05-08,"Seychelles",0,96762,11,0.096762,113.680990471466,0
2020-05-08,"Sierra_Leone",6,7650154,231,7.650154,30.1954705748407,0.78429793700885
